ID;Data;Lloc;Grau_Perill;Tipus_Desencadenant;Origen;Mida;Membres;Arrossegats;Ferits;Morts;Activitat;lat;long
151;23/04/2022;Pic de Piau;3;Placa (PL);Accidental;2;5;1;0;0;Esquí de muntanya;42.763429429414074;0.14803747365698786
149;16/04/2022;Besiberri Nord;2;Placa (PL);Accidental;1.5;2;1;0;0;Esquí de muntanya;42.60597908059464;0.8298488079919288
141;04/04/2022;Cap Vaquèira-Vinheta;3;Placa (PL);Accidental;2;3;1;0;1;Esquí fora pista;42.69570028190499;0.9746985361537465
143;04/04/2022;Olla del Bacivèr;3;Placa (PL);Accidental;2;4;3;1;0;Taula fora pista;42.71367323764383;0.9878752017860749
146;03/04/2022;Pic Blanc;3;Placa (PL);Accidental;2;1;1;0;0;Esquí fora pista;42.52563361963995;1.724467107602501
147;03/04/2022;Coma del Forn;3;Placa (PL);Accidental;1.5;1;1;0;0;Esquí de muntanya;42.67993516535723;1.1945851559354947
148;03/04/2022;Coma del Forn;3;Placa (PL);Accidental;1.5;1;1;0;0;Esquí de muntanya;42.67993516535723;1.1945851559354947
436;03/04/2022;Pic Blanc;3;Placa (PL);Accidental;2;2;1;0;0;Esquí fora pista;42.52503269356099;1.724761991030617
142;02/04/2022;Baciver - Paletes de la Reina;4;Placa (PL);Accidental;2;1;1;0;0;Esquí fora pista;42.71611605896234;0.9858057179134062
176;01/04/2022;Hoyo sin tierra;2;Placa (PL);Accidental;Desconegut;5;3;Desconegut;0;Esquí de muntanya;43.170496;-4.825373
144;15/03/2022;Serra Seca;3;Placa (PL);Accidental;2;4;1;0;0;Esquí de muntanya;42.5122853736047;1.7076882086710434
145;15/03/2022;Soldeu;3;Placa (PL);Accidental;3;2;2;0;0;Taula fora pista;42.54947623027123;1.6483030390540159
437;15/03/2022;El Tarter;3;Placa (PL);Accidental;2;2;2;0;0;Taula fora pista;42.550867295125954;1.6476278407493086
438;15/03/2022;Pic de Serra Seca;3;Placa (PL);Accidental;1.5;4;1;0;0;Esquí de muntanya;42.51690380976825;1.702167570475255
138;11/03/2022;Bacivèr;2;Puntual (PU);Accidental;1;2;1;0;0;Esquí fora pista;42.71012839759505;0.9857589258143307
140;11/03/2022;Agulles Travessani;3;Placa (PL);Accidental;2;8;7;0;0;Esquí de muntanya;42.61329100099035;0.8860933188658838
139;10/03/2022;Gavarnie;3;Desconegut;Natural;2;2;1;0;1;Alpinisme;42.6933658302488;-0.008722746681655293
136;21/02/2022;Pic de Ratera;2;Placa (PL);Accidental;1;5;3;0;0;Esquí de muntanya;42.59793444781904;0.9553608916699298
137;21/02/2022;Pica Cervi de Durro;2;Placa (PL);Accidental;2;1;1;0;0;Esquí fora pista;42.46231486525766;0.867287619125441
135;16/01/2022;Saslosses (Val d'Aran);2;Placa (PL);Accidental;1;2;1;0;0;Esquí de muntanya;42.63466;0.895809
133;03/12/2021;Bc. de Astún;3;Placa (PL);Accidental;2;2;1;0;Desconegut;Esquí de muntanya;42.810473634066064;-0.4997823434030725
132;28/11/2021;Roques Blanques-Pic de la Dona;3;Placa (PL);Desconegut;2.5;1;1;Desconegut;1;Alpinisme;42.43049154832184;2.2677345868399006
124;25/11/2021;Puigmal;3;Placa (PL);Accidental;2;2;1;0;0;Esquí de muntanya;42.387536084588135;2.1086697933354563
